¨OPEN de La Habana¨ de Taekwondo (M y F),Abril,Abril,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040368,,pedro@cubadeportes.cu,
"Torneo ¨Caribe¨ de Tenis de Mesa, categoría Juvenil. (M y F)",4/19/2016,4/24/2016,La Habana,Coliseo de la Ciudad Deportiva,CUBADEPORTE,Pedro Urquía,(537)2040369,,pedro@cubadeportes.cu,
Torneo Internacional de Ajedrez ¨José Raúl Capablanca in Memoriam¨ (M y F),5/5/2016,5/17/2016,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040370,,pedro@cubadeportes.cu,
Torneo de Tenis ¨Cuba-México¨. I Fase. (F),5/9/2016,5/23/2016,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040371,,pedro@cubadeportes.cu,
Intercambio ¨Cuba-Japón¨ de GO.,5/11/2016,5/14/2016,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040372,,pedro@cubadeportes.cu,
Torneo Pesca de la Aguja ¨Ernest Hemingway¨,5/25/2016,5/28/2016,La Habana,Marina Hemingway,MARLIN,Pedro Urquía,(537)2040373,,pedro@cubadeportes.cu,
"Encuentro ¨Cuba-México¨ de los trabajadores. Béisbol, voleibol, baloncesto",5/27/2016,6/3/2016,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040374,,pedro@cubadeportes.cu,
Serie  Mundial de Boxeo (Final),Mayo,Mayo,La Habana,Coliseo de la Ciudad Deportiva,CUBADEPORTE,Pedro Urquía,(537)2040375,,pedro@cubadeportes.cu,
Torneo NORCECA. Voleibol clasificatorio para las Olimpiadas (M y F),Mayo,Mayo,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040376,,pedro@cubadeportes.cu,
Clif Diving,Mayo,Mayo,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040377,,pedro@cubadeportes.cu,
Liga Mundial de Voleibol (M),Mayo,Mayo,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040378,,pedro@cubadeportes.cu,
Liga Mundial de Voleibol (M),Mayo,Mayo,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040379,,pedro@cubadeportes.cu,
Liga Mundial de Voleibol (M),Mayo,Mayo,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040380,,pedro@cubadeportes.cu,
Torneo ¨Memorial Barrientos¨ de Atletismo. (M y F),5/26/2016,5/30/2015,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040381,,pedro@cubadeportes.cu,
"Torneo ¨Giraldo Córdova Cardín"" de Boxeo",5/26/2016,6/2/2016,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040382,,pedro@cubadeportes.cu,
Copa ¨Moncada¨de Gimnasia Rítmica Deportiva.,6/15/2016,6/19/2016,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040383,,pedro@cubadeportes.cu,
Copa Moncada Karate-Do (M y F),6/16/2016,6/19/2016,Pinar del Río,,CUBADEPORTE,Pedro Urquía,(537)2040384,,pedro@cubadeportes.cu,
Copa ¨Moncada¨ de Gimnasia Artística (M y F),6/19/2016,6/26/2016,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040385,,pedro@cubadeportes.cu,
"Torneo ¨Caribe¨ de Tenis de Mesa, categoría Cadete. (M y F).",6/19/2016,6/24/2016,La Habana,Coliseo de la Ciudad Deportiva,CUBADEPORTE,Pedro Urquía,(537)2040386,,pedro@cubadeportes.cu,
Concurso Internacional de fotografía subacuática. ImaSub.,Junio ,Junio,Pinar del Río,,GAVIOTA TOURS,,,,,
Torneo ¨Horizontes de la Amistad¨ de Tenis (M y F).,6/27/2016,7/5/2016,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040386,,pedro@cubadeportes.cu,
Encuentro ¨Inter Club¨ de Gimnasia Rítmica Deportiva.,7/16/2016,7/21/2016,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040387,,pedro@cubadeportes.cu,
Torneo ¨Gimnastas del Futuro¨ de Gimnasia Artística. (M  y F),7/20/2016,7/30/2016,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040388,,pedro@cubadeportes.cu,
Liga Mundial de Voleibol (M),Julio,Julio,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040389,,pedro@cubadeportes.cu,
Liga Mundial de Voleibol (M),Julio,Julio,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040390,,pedro@cubadeportes.cu,
Liga Mundial de Voleibol (M),Julio,Julio,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040391,,pedro@cubadeportes.cu,
Tour NORCECA de Voleibol de Playa. (M y F).,8/10/2016,8/15/2016,Matanzas,,CUBADEPORTE,Pedro Urquía,(537)2040392,,pedro@cubadeportes.cu,
"Torneo ""Caribe"" de Tenis de Mesa, categoría Mayores. (M y F).",9/25/2016,9/29/2016,La Habana,Coliseo de la Ciudad Deportiva,CUBADEPORTE,Pedro Urquía,(537)2040393,,pedro@cubadeportes.cu,
II Gran Fondo Tour Cuba de Ciclismo (M y F),10/20/2016,10/26/2016,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040394,,pedro@cubadeportes.cu,
Copa Internacional Actividades Subacuáticas.,10/28/2016,10/30/2016,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040395,,pedro@cubadeportes.cu,
Torneo NORCECA de Pentatlón Moderno. (M y F).,Octubre,Octubre,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040396,,pedro@cubadeportes.cu,
Encuentro Maxi Basquet. (M).,11/8/2016,11/14/2016,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040397,,pedro@cubadeportes.cu,
Copa Rugby A 7,11/11/2016,11/13/2016,La Habana, Eduardo Saborit,CUBADEPORTE,Pedro Urquía,(537)2040398,,pedro@cubadeportes.cu,
Torneo ¨Capitán San Luis¨ de Pelota Vasca. II Fase. (M y F).,11/12/2016,11/18/2016,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040399,,pedro@cubadeportes.cu,
Torneo ¨Cuba-México¨ Tenis. II Fase. (M),11/14/2016,11/28/2016,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040400,,pedro@cubadeportes.cu,
Carrera Emblemática Marabana,11/20/2016,11/20/2016,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040401,,pedro@cubadeportes.cu,
XXII Encuentro Latinoamericano Infantil de Baloncesto (M),11/21/2016,11/27/2016,La Habana,Coliseo de la Ciudad Deportiva,CUBADEPORTE,Pedro Urquía,(537)2040402,,pedro@cubadeportes.cu,
Torneo Master de Veteranos de Tenis. (M),11/29/2016,12/6/2016,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040403,,pedro@cubadeportes.cu,
Torneo Titán -Cuba-Garmin de Ciclismo. (M y F).,12/7/2016,12/14/2016,La Habana,,CUBADEPORTE,Pedro Urquía,(537)2040404,,pedro@cubadeportes.cu,
